Image Number,Image Filename,Description,Image Type,Mapped Item ID(s),Notes
Img 26,WhatsApp Image 2026-05-18 at 12.13.15 AM (1).jpeg,"Same olive-tan trousers, back view",Duplicate angle,,Manual review cleanup 2026-05-19 00:26:45: removed WhatsApp Image 2026-05-18 at 12.13.15 AM (1).jpeg from BOT-11
Img 27,WhatsApp Image 2026-05-18 at 12.13.15 AM (2).jpeg,"Olive-tan pleated trousers, flat lay",Flat lay,,Manual review cleanup 2026-05-19 00:26:45: removed WhatsApp Image 2026-05-18 at 12.13.15 AM (2).jpeg from BOT-11
Img 28,WhatsApp Image 2026-05-18 at 12.13.16 AM.jpeg,"Client wearing black cropped trousers, front view",Worn photo,,Manual review cleanup 2026-05-19 00:26:45: removed invalid item mapping(s) BOT-12
Img 29,WhatsApp Image 2026-05-18 at 12.13.16 AM (1).jpeg,"Same black cropped trousers, side view",Duplicate angle,,Manual review cleanup 2026-05-19 00:26:45: removed invalid item mapping(s) BOT-12
Img 30,WhatsApp Image 2026-05-18 at 12.13.17 AM.jpeg,"Client wearing light plaid trousers, front view",Worn photo,BOT-13,
Img 31,WhatsApp Image 2026-05-18 at 12.13.17 AM (1).jpeg,"Same plaid trousers, side view",Duplicate angle,BOT-13,
Img 32,WhatsApp Image 2026-05-18 at 12.13.17 AM (2).jpeg,"Same plaid trousers, back view",Duplicate angle,BOT-13,
Img 33,WhatsApp Image 2026-05-18 at 12.13.18 AM.jpeg,"Light plaid trousers, flat lay",Flat lay,BOT-13,
Img 34,WhatsApp Image 2026-05-18 at 12.16.20 AM.jpeg,"Client wearing charcoal graphic tee with tree logo, front view with tan shorts",Worn photo,,Manual review cleanup 2026-05-19 00:26:45: removed invalid item mapping(s) TOP-09
Img 35,WhatsApp Image 2026-05-18 at 12.16.21 AM.jpeg,"Client wearing cream camp-collar shirt, front view",Worn photo,,Manual review cleanup 2026-05-19 00:45:10: removed invalid item mapping(s) TOP-10
Img 36,WhatsApp Image 2026-05-18 at 12.16.22 AM.jpeg,Same cream camp-collar shirt with darker bottoms,Worn photo,,Manual review cleanup 2026-05-19 00:26:45: removed WhatsApp Image 2026-05-18 at 12.16.22 AM.jpeg from TOP-10
Img 37,WhatsApp Image 2026-05-18 at 12.16.23 AM.jpeg,"Cream shirt, 3/4 sleeve full-length mirror selfie",Worn photo,,May show 3/4 sleeve or is same shirt at different angle | Manual review cleanup 2026-05-19 00:26:45: removed WhatsApp Image 2026-05-18 at 12.16.23 AM.jpeg from TOP-10
Img 38,WhatsApp Image 2026-05-18 at 12.16.24 AM.jpeg,"Client wearing cream long-sleeve button-up, full-length mirror selfie with black bottoms",Worn photo,TOP-11,
Img 39,WhatsApp Image 2026-05-18 at 12.16.25 AM.jpeg,"Same cream long-sleeve shirt, close-up selfie",Worn photo,TOP-11,
Img 40,WhatsApp Image 2026-05-18 at 12.16.31 AM.jpeg,"Client wearing charcoal floral camp-collar shirt with cream flowers and yellow accents, worn with black bottoms",Worn photo,TOP-12,Bold statement piece
Img 41,WhatsApp Image 2026-05-18 at 12.16.32 AM.jpeg,"Client wearing cream crew-neck tee, full-length mirror selfie with black bottoms",Worn photo,TOP-13,
Img 42,WhatsApp Image 2026-05-18 at 12.16.34 AM.jpeg,"Client wearing cream overshirt buttoned, worn with black bottoms",Worn photo,,Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) TOP-14
Img 43,WhatsApp Image 2026-05-18 at 12.16.35 AM.jpeg,"Same cream overshirt, worn open over white tee",Worn photo,,Shows layering flexibility | Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) TOP-14
Img 44,WhatsApp Image 2026-05-18 at 12.16.36 AM.jpeg,"Same cream overshirt, worn slightly open",Worn photo,,Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) TOP-14
Img 45,WhatsApp Image 2026-05-18 at 12.16.37 AM.jpeg,"Same cream overshirt, various closure",Worn photo,,Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) TOP-14
Img 46,WhatsApp Image 2026-05-18 at 12.16.38 AM.jpeg,"Same cream overshirt, open over white tee - side view",Worn photo,,Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) TOP-14
Img 47,WhatsApp Image 2026-05-18 at 12.16.40 AM.jpeg,"Client wearing light grey/taupe crew-neck knit sweater, mirror selfie front view with black bottoms",Worn photo,,Textured waffle or ribbed knit | Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) TOP-15
Img 48,WhatsApp Image 2026-05-18 at 12.13.19 AM.jpeg,"Client wearing light blue linen button-up shirt, worn with tan/cream trousers",Worn photo,,Appears to be linen or linen-cotton based on visible texture | Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) TOP-16
Img 49,WhatsApp Image 2026-05-18 at 12.13.20 AM.jpeg,"Client wearing cream button-up with small dark dot pattern, full-length mirror selfie with navy bottoms",Worn photo,TOP-17,
Img 50,WhatsApp Image 2026-05-18 at 12.17.06 AM.jpeg,"Cream canvas high-top sneakers, flat lay top-down view",Flat lay,SHO-01,
Img 51,WhatsApp Image 2026-05-18 at 12.17.08 AM.jpeg,"Same cream high-top sneakers, flat lay side view",Flat lay,SHO-01,
Img 52,WhatsApp Image 2026-05-18 at 12.17.09 AM.jpeg,"Brown/tan and white color-block low-top sneakers (Comet brand), flat lay back view",Flat lay,SHO-02,
Img 53,WhatsApp Image 2026-05-18 at 12.17.07 AM.jpeg,"Cream/beige slippers held in hand, flat lay",Flat lay,SHO-03,
Img 54,WhatsApp Image 2026-05-18 at 12.13.16 AM (2).jpeg,"Olive/khaki wide-leg trousers, flat lay close-up of waistband",Flat lay,,Duplicate angle of BOT-11 - merged | Manual review cleanup 2026-05-19 00:45:10: removed WhatsApp Image 2026-05-18 at 12.13.16 AM (2).jpeg from BOT-11
Img 55,WhatsApp Image 2026-05-18 at 12.13.18 AM (1).jpeg,Light grey-blue short-sleeve button-up shirt worn with cream trousers,Worn photo,,Manual review cleanup 2026-05-19 00:45:10: removed invalid item mapping(s) TOP-18
Img 56,WhatsApp Image 2026-05-18 at 12.13.19 AM (1).jpeg,"Cream/off-white shirt with navy dot pattern, worn photo mirror selfie front",Worn photo,TOP-07,DUPLICATE of TOP-07 - already cataloged as TOP-07 flat lay (Img 11)
Img 57,WhatsApp Image 2026-05-18 at 12.13.19 AM (2).jpeg,"Same cream/navy dot shirt, mirror selfie full-length view",Worn photo,TOP-07,DUPLICATE of TOP-07 - merged
Img 58,WhatsApp Image 2026-05-18 at 12.13.20 AM (1).jpeg,"Same cream/navy dot shirt, different angle worn photo",Worn photo,TOP-07,DUPLICATE of TOP-07 - merged
Img 59,WhatsApp Image 2026-05-18 at 12.13.20 AM (2).jpeg,"Same cream/navy dot shirt, worn photo 3/4 view",Worn photo,TOP-07,DUPLICATE of TOP-07 - merged
Img 60,WhatsApp Image 2026-05-18 at 12.13.21 AM (1).jpeg,"Same cream/navy dot shirt, waist-up view worn",Worn photo,TOP-07,DUPLICATE of TOP-07 - merged
Img 61,WhatsApp Image 2026-05-18 at 12.13.21 AM (2).jpeg,"Same cream/navy dot shirt, back view worn photo",Worn photo,TOP-07,DUPLICATE of TOP-07 - merged
Img 62,WhatsApp Image 2026-05-18 at 12.13.21 AM.jpeg,"Same cream/navy dot shirt, worn photo angle from slightly different view",Worn photo,TOP-07,DUPLICATE of TOP-07 - merged
Img 63,WhatsApp Image 2026-05-18 at 12.13.22 AM (1).jpeg,Light grey short-sleeve button-up worn with distressed shorts,Worn photo,,Manual review cleanup 2026-05-19 00:45:10: removed invalid item mapping(s) TOP-19
Img 64,WhatsApp Image 2026-05-18 at 12.13.22 AM (2).jpeg,Full body mirror selfie — powder blue long-sleeve shirt (TOP-16) with heavily distressed charcoal denim shorts (BOT-14),Worn photo,,"Previously misidentified as TOP-19 (grey short-sleeve); corrected to TOP-16 (powder blue long-sleeve). Same session as Img 65/66/67. | Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) TOP-16, BOT-14"
Img 65,WhatsApp Image 2026-05-18 at 12.13.22 AM.jpeg,Waist-up + shorts detail — powder blue shirt (TOP-16) with distressed charcoal shorts (BOT-14),Worn photo,,"Updated: TOP-16 mapping added (shirt clearly visible). Shows distressing detail on BOT-14. | Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) TOP-16, BOT-14"
Img 66,WhatsApp Image 2026-05-18 at 12.13.23 AM (1).jpeg,"Distressed denim shorts, worn front close-up with rips visible at front thighs",Worn photo,,DUPLICATE of BOT-14 worn - close-up | Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) BOT-14
Img 67,WhatsApp Image 2026-05-18 at 12.13.23 AM.jpeg,"Distressed denim shorts, worn waist-to-knee full-front view",Worn photo,,DUPLICATE of BOT-14 worn | Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) BOT-14
Img 68,WhatsApp Image 2026-05-18 at 12.14.54 AM.jpeg,Olive-green short-sleeve button-up shirt worn with cream trousers,Worn photo,TOP-20,
Img 69,WhatsApp Image 2026-05-18 at 12.14.56 AM.jpeg,"Same olive-green short-sleeve shirt, different angle worn photo",Worn photo,TOP-20,DUPLICATE of TOP-20 worn
Img 70,WhatsApp Image 2026-05-18 at 12.14.58 AM.jpeg,"Olive-green short-sleeve shirt, full-length mirror selfie with cream trousers",Worn photo,TOP-20,DUPLICATE of TOP-20 worn
Img 71,WhatsApp Image 2026-05-18 at 12.14.59 AM.jpeg,Olive-green shirt side profile view worn photo,Worn photo,TOP-20,DUPLICATE of TOP-20 worn - side view
Img 72,WhatsApp Image 2026-05-18 at 12.15.01 AM.jpeg,"Cream/light-colored trousers worn with olive shirt, waist-down detail",Worn photo,"TOP-20,BOT-13",Worn pairing photo showing cream trousers (likely BOT-13) with TOP-20 shirt
Img 73,WhatsApp Image 2026-05-18 at 12.15.11 AM.jpeg,Olive-green button-up shirt chest and collar detail view worn,Worn photo,TOP-20,DUPLICATE of TOP-20 worn - detail shot
Img 74,WhatsApp Image 2026-05-18 at 12.15.12 AM.jpeg,Full body mirror selfie — olive green short-sleeve shirt (TOP-20) with sand chino shorts (BOT-06),Worn photo,"TOP-20, BOT-06",Continuation of TOP-20 outfit series (1 second after last TOP-20 image); first worn photo for BOT-06
Img 75,WhatsApp Image 2026-05-18 at 12.15.13 AM.jpeg,"Front/angled mirror selfie — olive green shirt (TOP-20) with sand chino shorts (BOT-06), slight side angle",Worn photo,"TOP-20, BOT-06",Slightly different angle from Img 76; shows shirt hang and shorts volume together
Img 76,WhatsApp Image 2026-05-18 at 12.15.15 AM (1).jpeg,Waist-down close-up of sand chino shorts (BOT-06); DAMENSCH underwear waistband visible above shorts,Worn photo,BOT-06,"Best construction close-up for BOT-06; DAMENSCH label visible is underwear waistband above shorts, NOT shorts brand"
Img 77,WhatsApp Image 2026-05-18 at 12.15.15 AM.jpeg,Full body mirror selfie — powder blue shirt (TOP-16) now worn with sand chino shorts (BOT-06),Worn photo,BOT-06,"Same TOP-16 as in Img 74/75, now styled with sand shorts (BOT-06) instead of distressed shorts | Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) TOP-16"
Img 78,WhatsApp Image 2026-05-18 at 12.15.16 AM.jpeg,"Full body mirror selfie — powder blue shirt (TOP-16) with sand chino shorts (BOT-06), slightly different frame",Worn photo,BOT-06,Second angle of Img 79 outfit; confirms full-length silhouette of the combo | Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) TOP-16
Img 79,WhatsApp Image 2026-05-18 at 12.15.17 AM.jpeg,Torso-only mirror selfie — honey gold/amber oversized crew-neck T-shirt (TOP-21); dark charcoal shorts at hem,Worn photo,TOP-21,Cropped frame; good color and boxy silhouette reference for the tee; BOT-15 partially visible at lower edge
Img 80,WhatsApp Image 2026-05-18 at 12.15.19 AM.jpeg,Waist-down close-up — dark charcoal DAMENSCH chino shorts (BOT-15); DAMENSCH inner waistband label and purple button visible,Worn photo,,Brand confirmation: DAMENSCH label on inner shorts waistband (not underwear); distinctive purple/lavender button visible | Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) BOT-15
Img 81,WhatsApp Image 2026-05-18 at 12.16.15 AM.jpeg,Full body mirror selfie — honey gold T-shirt (TOP-21) with dark charcoal DAMENSCH chino shorts (BOT-15),Worn photo,TOP-21,Best full-length ground-truth reference for both TOP-21 and BOT-15 | Manual review cleanup 2026-05-19 15:37:07: removed invalid item mapping(s) BOT-15
Img 82,WhatsApp Image 2026-05-18 at 12.16.16 AM.jpeg,"Top-down POV looking at bare feet on teal/coral patterned rug; legs in slate/charcoal grey full-length trousers visible at top of frame; hand reaching toward a honey-gold garment held in a beige basket below (consistent with TOP-21 tee being held, not worn)",Worn photo,TOP-21,Low-information transition shot taken mid-outfit-change. TOP-21 mapped tentatively based on the held honey-gold garment in the basket. The slate-grey trousers being worn are not confidently identifiable from this angle (possibly an uncataloged grey trouser or jersey pant).
Img 83,WhatsApp Image 2026-05-18 at 12.16.17 AM.jpeg,Full-body mirror selfie — cream/off-white crew-neck T-shirt (TOP-13) worn with olive-tan wide-leg pleated trousers (BOT-11); barefoot,Outfit shot,"TOP-13, BOT-11",First worn outfit pairing for TOP-13 + BOT-11
Img 84,WhatsApp Image 2026-05-18 at 12.16.18 AM (1).jpeg,"Full-body mirror selfie — same TOP-13 + BOT-11 outfit, slightly different angle/lighting",Outfit shot,"TOP-13, BOT-11",Duplicate angle of Img 83
Img 85,WhatsApp Image 2026-05-18 at 12.16.18 AM.jpeg,Waist-up close-up — same TOP-13 + BOT-11 outfit; clear view of cream tee texture and the front pleating on the olive trousers,Outfit shot,"TOP-13, BOT-11",Best detail shot of this outfit pairing
Img 86,WhatsApp Image 2026-05-18 at 12.16.19 AM (1).jpeg,"Full-body mirror selfie — same TOP-13 + BOT-11 outfit, another angle",Outfit shot,"TOP-13, BOT-11",Duplicate angle of Img 83
Img 87,WhatsApp Image 2026-05-18 at 12.16.19 AM.jpeg,Full-body mirror selfie — faded indigo/blue acid-wash graphic tee with chest 'Wild Earth'-style arch/foliage graphic (TOP-04) worn with olive-tan wide-leg pleated trousers (BOT-11); tee fits relaxed/oversized,Outfit shot,"TOP-04, BOT-11","FIRST WORN PHOTO for TOP-04 — previously flat-lay only (Img 5). Confirms faded indigo color, oversized/relaxed fit, and the festival-graphic motif."
Img 88,WhatsApp Image 2026-05-18 at 12.16.20 AM (1).jpeg,Waist-up close-up — same TOP-04 + BOT-11 outfit; clear view of acid-wash texture and trouser drape at waist,Outfit shot,"TOP-04, BOT-11",Detail shot for TOP-04 acid-wash surface and BOT-11 waist pleating
Img 89,WhatsApp Image 2026-05-18 at 12.16.21 AM (1).jpeg,"Worn close-up — Zara cream linen short-sleeve open V-neck band-collar shirt (TOP-22, NEW); bottom shows olive/khaki fabric consistent with BOT-11 wide-leg trousers continuing from the same session",Outfit shot,"TOP-22, BOT-11",First worn photo for new item TOP-22. Bottom partially visible — mapped to BOT-11 based on session continuity and visible olive fabric drape.
Img 90,WhatsApp Image 2026-05-18 at 12.16.25 AM (1).jpeg,Full-body mirror selfie — white long-sleeve button-up shirt with single chest pocket and point/button-down collar worn with full-length black fabric trousers (not denim),Worn photo,"TOP-11, BOT-10","TENTATIVE mappings flagged in observations: shirt resembles TOP-11 (cream long-sleeve button-up) but reads pure-white here, may be a separate shirt; trousers tentatively BOT-10 (black wide-leg) but the silhouette reads slightly less wide than BOT-10's prior worn photos."
Img 91,WhatsApp Image 2026-05-18 at 12.16.26 AM (1).jpeg,Flat lay on a floral-printed bedspread of TWO shirts: top is the Zara cream linen short-sleeve open V-neck shirt (TOP-22) with the Zara neck label clearly visible; bottom (partially visible at the lower edge) is a white mandarin/band-collar shirt that is NOT clearly any existing cataloged item,Flat lay,TOP-22,Brand confirmation for TOP-22 (Zara label readable). The partially-visible bottom shirt may be a new uncataloged item — flagged in observations for re-photo.
Img 92,WhatsApp Image 2026-05-18 at 12.16.26 AM (2).jpeg,Worn close-up — solid white mandarin/band-collar long-sleeve button-up shirt with single chest pocket; relaxed fit on athletic frame,Worn photo,,NEW ITEM — solid white mandarin collar shirt. Matches the partially-visible shirt flagged in Img 91 observations. | Manual review cleanup 2026-05-19 00:45:10: removed invalid item mapping(s) TOP-23
Img 93,WhatsApp Image 2026-05-18 at 12.16.26 AM.jpeg,Full-body mirror selfie — cream boxy V-neck linen shirt (TOP-22) worn with black wide-leg trousers (BOT-10); barefoot on patterned rug,Worn photo,"TOP-22, BOT-10",Additional worn angle for TOP-22; confirms boxy silhouette and drape. Black trousers consistent with BOT-10.
Img 94,WhatsApp Image 2026-05-18 at 12.16.27 AM (1).jpeg,Worn close-up torso — same cream V-neck boxy linen shirt (TOP-22) with black trousers visible at waist,Worn photo,TOP-22,Detail shot of TOP-22 V-neck opening and linen texture
Img 95,WhatsApp Image 2026-05-18 at 12.16.27 AM.jpeg,"Worn close-up torso — deep indigo/navy botanical-print shirt with cream leaves, red berries/flowers, and green foliage motifs; mandarin collar; sleeves rolled to 3/4",Worn photo,TOP-02,"FIRST WORN PHOTO for TOP-02. Confirms: mandarin/band collar, bold tropical/botanical print with tigers/leaves, relaxed fit. Previously only folded flat lay (Img 2)."
Img 96,WhatsApp Image 2026-05-18 at 12.16.28 AM (1).jpeg,Full-body mirror selfie — same indigo botanical-print shirt (TOP-02) worn with black wide-leg trousers; barefoot,Worn photo,"TOP-02, BOT-10","Full-length ground truth for TOP-02 fit and silhouette. Shows hem sits at hip, relaxed through torso."
Img 97,WhatsApp Image 2026-05-18 at 12.16.28 AM (2).jpeg,Worn close-up torso — cream/off-white shirt with olive/dark-green abstract serpentine/squiggly dotted-swirl pattern; mandarin collar; long sleeves; chest pocket with contrasting edge stitching,Worn photo,TOP-24,NEW ITEM — block-print style abstract pattern shirt. Distinctive serpentine/organic motif.
Img 98,WhatsApp Image 2026-05-18 at 12.16.28 AM.jpeg,"Worn 3/4 body — same indigo botanical-print shirt (TOP-02) with black trousers, slightly different angle from Img 96",Worn photo,"TOP-02, BOT-10",Additional worn angle for TOP-02
Img 99,WhatsApp Image 2026-05-18 at 12.16.29 AM (1).jpeg,Full-body mirror selfie — cream serpentine-print shirt (TOP-24) worn with black wide-leg trousers; barefoot,Worn photo,"TOP-24, BOT-10",Full-length ground truth for TOP-24
Img 100,WhatsApp Image 2026-05-18 at 12.16.29 AM.jpeg,"Full-body mirror selfie — same cream serpentine-print shirt (TOP-24) with black trousers, slightly different angle",Worn photo,"TOP-24, BOT-10",Additional worn angle for TOP-24
Img 101,WhatsApp Image 2026-05-18 at 12.16.30 AM (1).jpeg,Worn close-up — cream serpentine-print shirt (TOP-24) pattern and pocket detail,Worn photo,TOP-24,Detail shot showing abstract serpentine print texture and chest pocket construction with contrasting edge stitching
Img 102,WhatsApp Image 2026-05-18 at 12.16.30 AM.jpeg,Full-body mirror selfie — charcoal short-sleeve shirt with large cream quatrefoil/clover print and yellow/gold contrast trim at collar and cuffs; worn with black wide-leg trousers; barefoot,Worn photo,"TOP-25, BOT-10",NEW ITEM — bold printed shirt with contrast trim. First worn photo.
Img 103,WhatsApp Image 2026-05-18 at 12.16.31 AM (1).jpeg,Worn close-up torso — same charcoal quatrefoil-print shirt (TOP-25); clear view of large cream clover motifs on charcoal base with yellow/gold piping at mandarin collar and sleeve cuffs,Worn photo,TOP-25,Best detail shot of TOP-25 pattern and contrast trim
Img 104,WhatsApp Image 2026-05-18 at 12.16.31 AM (2).jpeg,Worn close-up torso — same charcoal quatrefoil-print shirt (TOP-25) from slightly different angle; shows pattern at waist level and hem,Worn photo,TOP-25,Additional detail angle for TOP-25
Img 105,WhatsApp Image 2026-05-18 at 12.16.32 AM (1).jpeg,Flat lay on floral bedspread — white crew-neck T-shirt shown from back/neck label side; XL size label clearly visible with brand text partially legible,Flat lay,,TENTATIVE mapping to TOP-01. XL size visible. Brand text near label not fully legible — may confirm or contradict Calvin Klein identification from Img 1. Physical check needed. | Manual review cleanup 2026-05-19 00:26:45: removed WhatsApp Image 2026-05-18 at 12.16.32 AM (1).jpeg from TOP-01
Img 106,WhatsApp Image 2026-05-18 at 12.16.33 AM (1).jpeg,Full-body mirror selfie — white crew-neck T-shirt worn with black wide-leg trousers; barefoot,Worn photo,BOT-10,FIRST WORN PHOTO for TOP-01 (if confirmed as same item). Shows relaxed fit on athletic frame. | Manual review cleanup 2026-05-19 00:26:45: removed WhatsApp Image 2026-05-18 at 12.16.33 AM (1).jpeg from TOP-01
Img 107,WhatsApp Image 2026-05-18 at 12.16.33 AM (2).jpeg,Worn upper-body — same white crew-neck T-shirt closer view; clean relaxed fit visible,Worn photo,,Additional worn angle — waist-up detail | Manual review cleanup 2026-05-19 00:26:45: removed WhatsApp Image 2026-05-18 at 12.16.33 AM (2).jpeg from TOP-01
Img 108,WhatsApp Image 2026-05-18 at 12.16.33 AM.jpeg,Flat lay on floral bedspread — charcoal quatrefoil-print shirt (TOP-25) partially folded/crumpled; yellow collar trim clearly visible; white tee partially visible beside it,Flat lay,TOP-25,Flat lay of TOP-25; provides alternate view of pattern and construction
Img 109,WhatsApp Image 2026-05-18 at 12.16.34 AM (1).jpeg,Full-body mirror selfie — white crew-neck T-shirt with black trousers; further from mirror showing full silhouette including shoes area,Worn photo,BOT-10,Additional full-length worn angle for TOP-01 | Manual review cleanup 2026-05-19 00:26:45: removed WhatsApp Image 2026-05-18 at 12.16.34 AM (1).jpeg from TOP-01
Img 110,WhatsApp Image 2026-05-18 at 12.16.35 AM (1).jpeg,Full-body mirror selfie — light grey/stone heavyweight overshirt/shacket with spread collar and dual chest pockets worn open over white T-shirt; black wide-leg trousers; barefoot,Worn photo,"TOP-26, TOP-01, BOT-10",NEW ITEM — grey overshirt/shacket. First worn photo. Layered over TOP-01 (white tee visible underneath).
Img 111,WhatsApp Image 2026-05-18 at 12.16.36 AM (1).jpeg,"Worn close-up torso — same light grey overshirt (TOP-26); clear view of heavyweight cotton twill fabric, large buttons, dual symmetrical chest pockets, spread collar",Worn photo,TOP-26,Best detail shot of TOP-26 fabric and construction
