Item ID,Item Image Name,Image References,Category,Sub-Category,Brand,Color (Primary),Color (Secondary),Pattern,Fit,Rise,Length,Silhouette,Neckline,Drape Notes,Fit Source,Fabric,Weight,Stretch,Breathability,Surface Texture,Formality (1-5),Vibe Tags,Occasion Tags,Layering Position,Season,Max Comfortable Temp (C),Condition,Wear Frequency Estimate,Color Temperature,Skin Tone Interaction,Skin Tone Caution Flag,Contrast Level,Versatility Score (1-5),Role in Outfit,Volume/Visual Weight,Shoe Type,Sole Profile,Aesthetic Range,Top Compatibility Note,Client notes,Status
BOT-13,WhatsApp Image 2026-05-18 at 12.13.17 AM.jpeg | WhatsApp Image 2026-05-18 at 12.13.17 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.13.17 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.13.18 AM.jpeg,Img 30 (worn) | Img 31 (worn) | Img 32 (worn) | Img 33 (flat),Trousers,Plaid trousers,Unidentified,Cream / light beige,Grey (plaid pattern),Plaid,Regular / relaxed,Mid-rise,Full length,Regular / straight,,Relaxed drape through thigh and knee. Hem breaks at the foot.,Worn photo (Img 30-32),Likely linen or linen-cotton blend (visible texture),Light-mid,No,High (linen),Textured / slubby,2-3,"earthy, artisan, designer-dev, coastal","brunch, casual hangout, restaurant (casual), beach/Goa, travel day",,"Summer, monsoon, all-season warm",38,Good,Regular,Warm,CAUTION - light cream/beige close to skin tone; risk of blending,YES,Low-medium,3,Supporting,Low-medium,,,,,Never worn; cant create an outfit with this one,
SHO-01,WhatsApp Image 2026-05-18 at 12.17.06 AM.jpeg | WhatsApp Image 2026-05-18 at 12.17.08 AM.jpeg,Img 50 (flat top-down) | Img 51 (flat side),Shoes,Canvas high-top sneakers,Gully Labs,Cream / off-white,—,Solid,,,,High-top,,"Canvas construction; clean, minimal aesthetic. Good for casual hangouts and street looks.","Flat lay (Img {img_num}, {img_num+1})",Canvas cotton,Light,No,Medium-high,Smooth / woven canvas,1-2,"street, casual, minimal, cosmopolitan","casual hangout, boys night, concert, travel day, beach/Goa",,All-season,35,Worn (creasing visible; appears to be frequently used),Regular,Cool,Good - cream contrasts subtly with skin; clean white pops,No,Medium,4,Star (versatile baseline shoe),Low,High-top canvas sneaker,Flexible rubber,"Casual, street, minimal, cosmopolitan",Works with most casual outfits,,
SHO-02,WhatsApp Image 2026-05-18 at 12.17.09 AM.jpeg | WhatsApp Image 2026-05-18 at 12.17.08 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.17.09 AM (1).jpeg,Img 52 (flat back view) | Img 119 (flat top-down) | Img 120 (flat top-down alt),Shoes,Color-block low-top sneakers,Comet (visible on heel),Brown / tan,"White / cream (color-block panels), Olive / khaki (mudguard + collar lining)",Solid with color-blocking,,,,Low-top,,Suede/nubuck and canvas color-block; relaxed athletic aesthetic. Fits well with casual and street looks.,Flat lay (Img {img_num}),Suede/nubuck + canvas (color-blocked),Light-mid,No,Medium,Suede + canvas weave,2,"street, casual, designer-dev, rugged","casual hangout, boys night, concert, brunch",,"All-season, warmer months",32,Worn (creasing on suede; appears well-used),Regular,Warm (tan) + cool (white),Good - tan and white contrast provides visual interest without clashing with warm skin,No,Medium-high,3,Star (color-blocking carries outfit identity),Low-medium,Low-top canvas/suede sneaker,Flexible rubber,"Casual, street, warm-weather",Pairs well with casual shorts and tees,,
SHO-03,WhatsApp Image 2026-05-18 at 12.17.07 AM.jpeg,Img 53 (flat held in hand),Shoes,Slippers / house shoes,Unidentified (partial branding visible but not legible),Cream / warm beige,—,Solid,,,,Slip-on / open-back,,"Soft, comfortable slippers. Worn around the house or for quick outdoor trips. Not suitable for formal outings or detailed styling.",Flat lay (Img {img_num}),Likely cotton or canvas blend with soft lining,Light,,High,Soft / cushioned,0,"casual, minimal","home, casual hangout",,All-season,Any,Good (appears well-used but comfortable),Frequent (home wear),Warm,Cream blends subtly with warm skin; not a styling focus piece,No,Low,1,Not a wardrobe star (home wear only),Low,Slip-on slipper,Soft sole,"Casual, comfort, home",Not for outfits; home wear only,,
SHO-04,WhatsApp Image 2026-05-18 at 12.17.10 AM (1).jpeg,Img 121 (flat top-down),Shoes,Low-top sneakers,Nike (Air Force 1),Black (all-black),—,Solid,,,,Low-top,,"Classic AF1 silhouette — chunky sole, leather upper, perforated toe box. All-black colorway reads sleek and versatile.",Flat lay (Img 121),Full-grain leather upper,Mid-heavy,No,Low (leather),Smooth leather with perforated toe box,2-3,"street, cosmopolitan, minimal, clean, designer-dev","casual hangout, boys night, date night (casual), party, office (casual), concert",,All-season,32,Worn (visible creasing on leather; some wear on sole edges — well-used but structurally sound),Regular,Neutral,Excellent — all-black is a universally flattering anchor; provides strong contrast against light brown skin from the ground up,No,High,5,Supporting (versatile baseline shoe that grounds any outfit),Medium (chunky AF1 sole adds some visual weight),Low-top leather sneaker,Chunky rubber (Air unit),"Street, casual, smart-casual, cosmopolitan","Works with virtually everything — jeans, chinos, wide-leg trousers, shorts. The all-black reads dressier than white sneakers.",,
SHO-05,WhatsApp Image 2026-05-18 at 12.17.10 AM.jpeg,Img 122 (flat top-down),Shoes,Slide sandals (dual-buckle),Unidentified (Birkenstock Arizona style — embossed markings on footbed may confirm brand upon physical inspection),Black (all-black),—,Solid,,,,Open-toe slide,,Classic dual-buckle slide sandal with molded contoured footbed. Two wide adjustable straps across the forefoot. All-black colorway reads clean and minimal.,Flat lay (Img 122),Synthetic or leather upper straps; EVA or rubber molded footbed and sole,Light,No,"High (open-toe, open-back)",Smooth straps with matte finish; textured footbed,1-2,"minimal, clean, coastal, casual, Goa/hippie, street","casual hangout, beach/Goa, brunch, home, travel day, boys night (casual)",,"Summer, monsoon, all-season warm",Any (open footwear),Good (appears lightly worn; footbed shows some use but straps and sole are in good shape),Regular (warm weather),Neutral,Good — all-black is universally neutral; does not compete with skin tone from ground level,No,High (against lighter skin at ankle/foot),4,Supporting (casual anchor that grounds warm-weather outfits),Low (minimal footwear),Dual-buckle slide sandal,Flat molded (contoured footbed),"Casual, coastal, minimal, resort, street","Works with shorts, linen trousers, casual wide-leg pants. Not suitable for office or formal occasions. Pairs naturally with the relaxed/coastal pieces in the wardrobe (TOP-06, TOP-10, TOP-20, TOP-22).",,
TOP-01,WhatsApp Image 2026-05-17 at 8.44.43 PM.jpeg,Img 1 (flat),T-Shirt,Crew neck T-shirt,Possibly Calvin Klein (faint chest text - not fully legible),Bright white,—,Solid,Relaxed (worn photos confirm — sits slightly loose on athletic frame without billowing),,Short-sleeve,Relaxed,Crew,"Worn photos show relaxed drape; hem sits at hip level; comfortable fit for an athletic 6'0"" frame in size XL","Worn photo (Img 106-107, 109) - ground truth",Cotton jersey,Mid,Slight,High,"Smooth, soft-washed",2,"clean, minimal, street, cosmopolitan, designer-dev","casual hangout, boys night, brunch, travel day, date night (casual)",Base,All-season,35,Good (slight creasing; faint mid-chest mark visible - possible stain or shadow),Regular,Cool/neutral,Bright white pops well against light brown skin - strong contrast,No,High,5,Supporting,Low,,,,,,
TOP-02,WhatsApp Image 2026-05-17 at 8.44.49 PM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.27 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.28 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.28 AM.jpeg,Img 2 (flat - folded/crumpled) | Img 95 (worn close-up) | Img 96 (worn full-length) | Img 98 (worn 3/4 body),Shirt,Printed mandarin-collar shirt (camp collar variant with mandarin neckline confirmed from worn photos),JodiLife,Deep indigo / navy,"Cream/ivory, red-pink, olive green",Tropical/animal print (tigers + foliage + floral motifs),Relaxed (confirmed from worn photos - sits comfortably on athletic frame with sleeves rolled to 3/4),,Regular (hem sits at hip),"Relaxed, slightly boxy",Mandarin / band collar,Worn photos confirm relaxed drape through torso; mandarin/band collar sits naturally. Bold print reads as statement piece.,"Worn photo (Img 95-96, 98) - ground truth",Likely viscose or cotton-rayon blend (drape and print clarity),Light-mid,No,Medium-high,Smooth,2,"Goa/hippie, coastal, maximalist, bold, surf","beach/Goa, casual hangout, party, boys night, brunch, restaurant (casual)",Base / open as outer (typical of printed shirts),"Summer, all-season for warm-climate travel",38,Cannot determine from photo (folded),Occasional,"Mixed (cool navy base, warm accents) - reads warm-leaning overall",Warm accents harmonize with warm Indian skin; navy provides contrast,No,High (bold pattern),2,Star,High,,,,,"Sometimes feels a little much for casual settings etc, need to maybe ignore that thought. Pairing footwear with this is always a challenge",
TOP-03,WhatsApp Image 2026-05-17 at 8.44.49 PM (2).jpeg | WhatsApp Image 2026-05-17 at 8.44.49 PM (3).jpeg,"Img 3 (flat), Img 4 (flat - different angle/orientation, same item)",Sweater,Open-knit mock-neck sweater,Zara,Heather grey,—,Knit texture (loose open weave),Relaxed (flat-lay reading),,Long-sleeve,"Slightly boxy on flat, drop-shoulder suspected (no worn photo)",Mock neck / high crew,"Short-sleeve crochet/chunky knit with a crew neck and a white tee underneath. The knit fabric has an open, airy weave that gives it a relaxed, slightly boxy drape — it doesn't cling but follows the torso loosely. Sleeves are slightly puffed at the shoulder and taper to the elbow, adding a subtle structured detail. Hem sits at the natural waist. The layering over the white tee peeks at the collar and hem, adding depth.
",Flat lay only,Open-knit cotton or cotton-acrylic blend,Mid,Slight (knit construction),High (open weave),"Ribbed, open-weave, textured",2-3,"earthy, artisan, Goa/hippie, coastal, designer-dev, Scandi","casual hangout, date night (casual), brunch, travel day, beach/Goa (evening)",Mid or base (can layer over a tee),"Monsoon, winter (Bangalore-calibrated); all-season for travel to cooler climates",25,Good,Regular (cool weather),Neutral (heather grey reads slightly cool),Versatile neutral - does not disappear into warm skin,No,Medium,4,Both (star when worn solo; supporting with bold bottoms),Medium-high (open-weave is visually heavy),,,,,,
TOP-04,WhatsApp Image 2026-05-17 at 8.44.49 PM (4).jpeg | WhatsApp Image 2026-05-18 at 12.16.19 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.20 AM (1).jpeg,Img 5 (flat) | Img 87 (worn full-length) — FIRST worn photo for TOP-04 | Img 88 (worn waist-up close-up),T-Shirt,Graphic acid-wash T-shirt,Unidentified (chest graphic appears nature/festival themed - 'Wild Earth' or similar),Faded navy / indigo (acid-wash),"Green, yellow (chest graphic)",Acid-wash with chest graphic,Relaxed (flat-lay reading),,Short-sleeve,"Relaxed, slightly boxy",Crew,"Classic boxy, drop-shoulder cut with significant width through the chest and torso. Fabric is a washed cotton that drapes softly and loosely — no tension anywhere. The hem falls past the natural waist and sits freely over the trouser waistband, creating a blouson effect. Drop shoulders push the sleeve seam well down the upper arm, amplifying the relaxed, streetwear silhouette. The acid-wash gives the fabric a lived-in, uneven texture rather than a flat solid.",Flat lay only,Cotton jersey,Mid,Slight,High,"Soft-washed, slightly weathered",2,"grunge, metalhead, street, rugged, Goa/hippie, surf","concert, casual hangout, boys night, beach/Goa, travel day",Base,All-season (warm climates),35,Worn appearance (intentional acid-wash; possible additional genuine wear - hard to distinguish),Occasional,Cool,Deep blue contrasts nicely with warm skin,No,Medium-high,3,Star (graphic + wash carry personality),Medium,,,,,Slightly worn; maybe a few seasons is all it would last,
TOP-07,WhatsApp Image 2026-05-17 at 8.44.50 PM (5).jpeg | WhatsApp Image 2026-05-18 at 12.13.19 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.13.19 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.13.20 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.13.20 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.13.21 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.13.21 AM (2).jpeg | WhatsApp Image 2026-05-18 at 12.13.21 AM.jpeg,Img 11 (flat) | Img 56 (worn front) | Img 57 (worn full-length) | Img 58 (worn) | Img 59 (worn) | Img 60 (worn waist-up) | Img 61 (worn back) | Img 62 (worn angle),Shirt,Mandarin collar long-sleeve shirt,JodiLife,Bright white / off-white,Indigo blue (print),Abstract dot/circle pattern arranged in diamond/geometric clusters,Relaxed (worn reading confirms flat-lay read),,Long-sleeve,Relaxed,Mandarin / band collar,Multiple worn photos show relaxed fit with clean drape; sits well on athletic frame without excessive looseness. Mandarin collar sits naturally.,Worn photo (Img 56-62) - ground truth,Lightweight cotton (poplin or cotton-linen blend),Light,No,High,Smooth,3,"artisan, designer-dev, cosmopolitan, editorial, Goa/hippie","office (creative/casual), date night (casual), restaurant, brunch, beach/Goa, party",Base / open as outer,"Summer, monsoon, all-season warm",36,Good (some natural creasing),Regular,Cool (white base + indigo print),Excellent - bright white pops against warm Indian skin,No,High,4,Star (the print carries visual interest),Medium (small-scale print keeps visual weight controlled),,,,,Slightly worn; might only survive a few more seasons ,
TOP-08,WhatsApp Image 2026-05-17 at 8.44.50 PM (6).jpeg,Img 12 (flat),Shirt,Long-sleeve button-up shirt with chest pocket,American Eagle (neck label visible),Light sky blue / chambray blue,White (pinstripe),Subtle vertical pinstripe,Relaxed (flat-lay reading),,Long-sleeve,Relaxed,Button-down collar,"Long-sleeve button-down with a soft collar, worn with sleeves rolled to mid-forearm. Linen fabric drapes naturally with characteristic relaxed creasing — no stiffness, falls away from the body without clinging. The shirt is left untucked, hem sitting at mid-hip. Fit is slightly loose through the chest and shoulders — not oversized, but not tailored either. The roll on the sleeves adds a casual, effortless detail and breaks up the solid fabric well.",Flat lay only,Linen or linen-cotton blend (visible slubby weave),Light,No,High,Slubby/textured (linen weave),3,"coastal, preppy, clean, minimal, designer-dev, safari","office, date night (casual), restaurant, brunch, beach/Goa, travel day",Base / open as outer,"Summer, monsoon, all-season warm",36,Good,Regular,Cool,Good - light blue is a flattering cool tone against warm Indian skin,No,Medium-low (light tones),4,Supporting,Low-medium,,,,,,
TOP-11,WhatsApp Image 2026-05-18 at 12.16.24 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.25 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.25 AM (1).jpeg,Img 38 (worn full-length) | Img 39 (worn close-up) | Img 90 (worn full-length) — TENTATIVE; possible separate white shirt,Shirt,Long-sleeve button-up shirt,Zara,Bright White,—,Solid,Relaxed (worn reading),,Long-sleeve,Relaxed / slightly boxy,Button-down collar with chest pocket,Relaxed fit; sits slightly loose. Good flow on athletic frame.,Worn photo (Img 38-39),Lightweight cotton or cotton-linen blend,Light-mid,No,High,Smooth weave,2-3,"minimal, clean, coastal, designer-dev","office (casual), brunch, casual hangout, beach/Goa, restaurant (casual), date night (casual)",Base / open as outer,"Summer, monsoon, all-season warm",36,Good,Regular,Warm,CAUTION - cream/off-white risks washing out in certain lighting,YES,Low,3,Supporting (pairs well with contrasting bottoms),Low-medium,,,,,,
TOP-13,WhatsApp Image 2026-05-18 at 12.16.32 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.17 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.18 AM (1).jpeg | WhatsApp Image 2026-05-18 at 12.16.18 AM.jpeg | WhatsApp Image 2026-05-18 at 12.16.19 AM (1).jpeg,"Img 41 (worn) | Img 83 (worn full-length) | Img 84 (worn full-length, alt angle) | Img 85 (worn waist-up close-up) | Img 86 (worn full-length)",T-Shirt,Crew-neck T-shirt,Unidentified,Cream / off-white,—,Solid,Relaxed (worn reading),,Short-sleeve,Relaxed,Crew,Relaxed fit; sits slightly loose without billowing.,Worn photo (Img 41),Cotton jersey,Mid,Slight,High,"Soft, smooth",1-2,"minimal, clean, designer-dev","casual hangout, brunch, travel day, date night (casual)",Base,All-season,35,Good,Regular,Warm,CAUTION - cream/off-white risks washing out in certain lighting,YES,Low,2,Supporting (needs high-contrast bottoms or layering),Low,,,,,,
TOP-20,WhatsApp Image 2026-05-18 at 12.14.54 AM.jpeg | WhatsApp Image 2026-05-18 at 12.14.56 AM.jpeg | WhatsApp Image 2026-05-18 at 12.14.58 AM.jpeg | WhatsApp Image 2026-05-18 at 12.14.59 AM.jpeg | WhatsApp Image 2026-05-18 at 12.15.01 AM.jpeg | WhatsApp Image 2026-05-18 at 12.15.11 AM.jpeg | WhatsApp Image 2026-05-18 at 12.15.12 AM.jpeg | WhatsApp Image 2026-05-18 at 12.15.13 AM.jpeg,Img 68 (worn) | Img 69 (worn) | Img 70 (worn full-length) | Img 71 (worn side) | Img 72 (worn pants detail) | Img 73 (worn chest detail) | Img 74 (worn full-length) | Img 75 (worn front/angled),Shirt,Short-sleeve button-up shirt,Unidentified,Olive green / sage green,—,Solid,Relaxed,,Short-sleeve,Relaxed,Mandarin collar / band collar,Relaxed fit; sits comfortably on athletic frame with gentle drape through torso. Mandarin collar sits naturally without pulling.,Worn photo (Img 68-73),Lightweight cotton or cotton-linen blend,Light-mid,No,High,Smooth weave,2-3,"earthy, safari, coastal, artisan, minimal, designer-dev","casual hangout, office (casual), brunch, beach/Goa, restaurant (casual), date night (casual)",Base / open as outer,"Summer, monsoon, all-season warm",36,Good,Regular,Warm,Excellent - olive harmonizes beautifully with warm Indian skin tone,No,Medium,4,Both,Medium,,,,,,
